sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vth,Ion,ON_OFF_Ratio,SS
0.16,0.08,0.057,1,0,-0.13076769,0.040406299,1.16448E+11,119.9470058
0.16,0.08,0.057,1,1,0.493062141,0.04093491,1.3697E+11,133.1951248
0.16,0.08,0.057,0,0,-1.150472989,0.03582483,89658673003,109.0581607
0.16,0.08,0.057,0,1,-0.80135479,0.039755167,1.23926E+11,117.6620058
0.16,0.08,0.05,1,0,1.847405932,0.023364265,79091601374,139.153534
0.16,0.08,0.05,1,1,3.126635614,0.023123662,91974179001,143.9013339
0.16,0.08,0.05,0,0,-0.089542641,0.028137772,66412268856,116.8174683
0.16,0.08,0.05,0,1,0.451903232,0.027609559,68554822663,125.7894161
0.18,0.18,0.055,1,0,2.80831346,0.033553823,82119105632,146.9977529
0.18,0.18,0.055,1,1,3.627386357,0.030943141,84195219180,143.4936025
0.18,0.18,0.055,0,0,1.307096521,0.041431624,79839572072,122.1301779
0.18,0.18,0.055,0,1,1.907014626,0.037982992,1.01393E+11,136.5918768
0.18,0.18,0.057,1,0,1.838958142,0.040630883,95893184058,136.4362386
0.18,0.18,0.057,1,1,2.460620071,0.038033654,1.00552E+11,146.7602133
0.18,0.18,0.057,0,0,0.600899342,0.047401651,90685143928,106.8675363
0.18,0.18,0.057,0,1,1.102200381,0.045049398,1.16111E+11,133.0138396
0.18,0.18,0.05,1,0,5.328640225,0.023137487,73031065140,142.987621
0.18,0.18,0.05,1,1,6.561333508,0.021379246,44267253870,151.6619077
0.18,0.18,0.05,0,0,3.055911768,0.032661515,66236900547,129.5164425
0.18,0.18,0.05,0,1,3.993779291,0.027116284,95713845165,156.7515517
0.18,0.1,0.055,1,0,1.033718183,0.035077164,99113982900,140.99167
0.18,0.1,0.055,1,1,1.897211914,0.032730034,1.05742E+11,124.1281992
0.18,0.1,0.055,0,0,-0.435808551,0.036341591,78578266261,112.1949658
0.18,0.1,0.055,0,1,0.135823129,0.037306168,1.15261E+11,136.4038634
0.18,0.1,0.057,1,0,0.358720483,0.04180419,1.13703E+11,132.466716
0.18,0.1,0.057,1,1,0.997174688,0.040754916,1.2877E+11,129.0455081
0.18,0.1,0.057,0,0,-0.823554018,0.040010634,91997889860,106.4253965
0.18,0.1,0.057,0,1,-0.315275605,0.042388403,1.32551E+11,116.2780687
0.18,0.1,0.05,1,0,2.813811094,0.023529572,72653249130,151.6207118
0.18,0.1,0.05,1,1,4.047076136,0.02266806,76777368216,155.8174266
0.18,0.1,0.05,0,0,0.535324849,0.029440689,64541669008,123.2354713
0.18,0.1,0.05,0,1,1.430780592,0.026408461,86483692579,139.5866876
0.18,0.12,0.055,1,0,1.516521276,0.034374436,96253269019,127.716276
0.18,0.12,0.055,1,1,2.333401545,0.032484941,1.04595E+11,140.4905528
0.18,0.12,0.055,0,0,-0.045058023,0.038823862,82219302897,94.40618152
0.18,0.12,0.055,0,1,0.598485433,0.037595123,1.12658E+11,128.4753981
0.18,0.12,0.057,1,0,0.71106684,0.042377355,1.14514E+11,134.946442
0.18,0.12,0.057,1,1,1.394313819,0.039911267,1.20235E+11,123.7272504
0.18,0.12,0.057,0,0,-0.462475223,0.042307402,91112211073,116.2646417
0.18,0.12,0.057,0,1,0.019596848,0.043676859,1.31274E+11,128.0377037
0.18,0.12,0.05,1,0,3.460908694,0.02351554,71830849192,144.0770446
0.18,0.12,0.05,1,1,4.703787061,0.022313967,75278803598,145.5333113
0.18,0.12,0.05,0,0,1.14829613,0.030522723,66892080275,110.7029852
0.18,0.12,0.05,0,1,2.062586546,0.026835161,87712552682,149.3767311
0.18,0.14,0.055,1,0,1.960088104,0.034045578,92859970188,124.0470432
0.18,0.14,0.055,1,1,2.746574841,0.032363203,90694889939,138.7768011
0.18,0.14,0.055,0,0,0.433976706,0.039913563,82046734391,117.62896
0.18,0.14,0.055,0,1,1.024559697,0.038077299,1.11051E+11,131.5007932
0.18,0.14,0.057,1,0,1.087403099,0.042126988,1.04057E+11,135.9329953
0.18,0.14,0.057,1,1,1.729589391,0.039765564,1.08115E+11,138.9064734
0.18,0.14,0.057,0,0,-0.126765496,0.044690153,89073812429,117.0287766
0.18,0.14,0.057,0,1,0.335416939,0.045026567,1.2193E+11,132.0141547
0.18,0.14,0.05,1,0,4.082872526,0.023556157,72953544664,158.778138
0.18,0.14,0.05,1,1,5.304504876,0.022294364,74455309832,150.7378597
0.18,0.14,0.05,0,0,1.801409227,0.031289713,67248896017,127.0150186
0.18,0.14,0.05,0,1,2.718490219,0.027014528,87860570948,145.072873
0.18,0.16,0.055,1,0,2.397107603,0.033706904,83422516637,124.1605562
0.18,0.16,0.055,1,1,3.190899549,0.031680812,87099645720,135.827863
0.18,0.16,0.055,0,0,0.847570718,0.04113985,79305771945,100.8950339
0.18,0.16,0.055,0,1,1.490699352,0.037771338,1.0086E+11,131.8140033
0.18,0.16,0.057,1,0,1.464347434,0.041484506,98851277215,136.3488563
0.18,0.16,0.057,1,1,2.094157846,0.038987073,1.0469E+11,143.7031345
0.18,0.16,0.057,0,0,0.238381975,0.046328593,89300715601,117.7922125
0.18,0.16,0.057,0,1,0.718539639,0.045274905,1.17696E+11,132.9383632
0.18,0.16,0.05,1,0,4.729925913,0.023201672,72467866057,154.2904236
