Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
4.580640489116307e-13,3.768164205160148e-13,4.1576813635372325e-13,4.2225732017009844e-13,3.354181137465239e-13,2.978906437905007e-13,5.170587217903607e-13
2.577364773054372e-13,3.311517855277359e-12,3.7900356320918986e-12,4.1331210401509323e-13,3.26981525017676e-12,3.6571845041807613e-13,5.21999744776984e-13
3.163257039570423e-13,4.787344711672474e-13,6.62594523214022e-13,,4.420092995523781e-13,3.5508425621441025e-13,4.4896201654813083e-13
3.316340632162928e-13,3.48239747054669e-13,4.459167255681456e-12,,3.126216737487313e-13,3.8675315430664694e-13,2.976865038099358e-13
4.086924582547483e-13,4.0695604763263045e-13,8.907292512500513e-13,,3.791503593070387e-13,3.701507541868955e-13,3.052569312529352e-13
3.87064512677654e-13,5.324965906929024e-13,6.234795203347511e-13,,3.279754969890053e-12,3.617364004930765e-13,4.291903134626387e-13
4.233615856003633e-13,4.296931108011471e-13,4.96929174570208e-13,,4.98030226316514e-13,3.495837744467567e-13,4.545321140274536e-13
4.1299289065106673e-13,3.9066963754890673e-13,4.088267836174788e-12,,3.4305752209560013e-13,3.735702207804955e-13,4.563426872291e-13
3.7546609323359285e-13,5.365489391336748e-13,4.0283574662040495e-12,,3.8813803470683713e-13,3.598831840434413e-13,4.518354603949441e-13
5.202247121564892e-13,3.9491081271173814e-13,3.51061496576008e-13,,3.5325328104766484e-13,4.2764520135959014e-13,3.0803738005616575e-13
3.7952410965340083e-13,5.500095807529565e-13,4.053792889455985e-12,,5.055329160721511e-13,3.070861999930679e-13,4.574503967387325e-13
4.933423617241545e-13,3.9638094736832404e-13,5.016672318459564e-13,,5.168208141715283e-13,2.6180089600199413e-13,4.601048026631414e-13
4.597113882842392e-13,5.509013916552216e-13,4.9259515192845415e-12,,3.667515827988432e-13,2.6371872263513297e-13,4.649240029950717e-13
4.594579927266281e-13,5.455337315608398e-13,2.639433689831418e-13,,5.423325883500464e-13,3.1081336856063904e-13,4.827443562856167e-13
3.837515670613914e-13,2.7488596419044485e-13,5.053927264834408e-13,,5.473813237616296e-13,3.0148814048763293e-13,4.893065588813775e-13
4.340381798666568e-13,3.4937910362837374e-13,4.990252635732755e-12,,3.121420188039713e-13,2.9798178132942653e-13,4.856007077381939e-13
4.39458213360419e-13,4.996707599058231e-13,4.603645963892467e-13,,3.0554680829361802e-12,3.6086679904417693e-13,3.440227926982952e-13
4.177204257315778e-13,4.963875645278198e-13,3.2910701108178786e-12,,2.483365612376611e-13,3.731758864107384e-13,5.09226788504441e-13
2.758340008720844e-13,2.791815796121615e-13,6.263856004815637e-13,,5.062182795622859e-13,3.7206510479246374e-13,5.153811351239179e-13
3.323953439193193e-12,2.827493496880122e-13,5.025645831073841e-12,,5.12600144369925e-13,3.677066418195292e-13,5.079080812618736e-13
4.1578528239389844e-13,4.361308101769496e-13,3.7154697222173225e-13,,5.180704506527333e-13,3.5023051478254e-13,5.138237178760959e-13
3.339292039315622e-12,4.636925621461665e-13,4.789159027396677e-13,,3.583183496060211e-13,3.67758947953033e-13,5.180896035692845e-13
3.025534034165105e-13,4.968181232490553e-13,4.268171446221197e-13,,3.007214718539109e-13,3.8857573883649593e-13,5.322998149219417e-13
3.467788280218551e-13,5.015465119608662e-13,3.319222975247721e-12,,4.351828234490092e-13,3.723776666662435e-13,5.416769354604411e-13
3.529738341946048e-12,3.523624524607144e-13,6.646208631235079e-13,,3.1966382473414894e-13,3.799044906867053e-13,2.734497991131372e-13
3.6828675377663514e-13,5.364466449972468e-13,5.054738533756336e-12,,4.629618327357346e-13,3.728063785411034e-13,3.975400983022616e-13
4.682939030214212e-13,3.926126017219975e-13,7.331076559696063e-13,,4.663422317930508e-13,4.368691255984122e-13,5.198782328735585e-13
3.5389087186877888e-12,5.369730285770452e-13,5.031808108872034e-13,,5.000073919025452e-13,3.866721337680992e-13,5.056820259413787e-13
3.8288597639055483e-13,5.499463552515215e-13,4.301848136383075e-13,,3.451889212891612e-13,3.377851676886241e-12,3.559782004695967e-13
4.732910235214028e-13,5.537721496037524e-13,4.60909980095529e-12,,3.5447273902367973e-13,2.842301720419096e-13,3.7048827358454714e-13
3.507596601898015e-13,3.972766496054796e-13,6.695429868324767e-13,,5.094223781972269e-13,2.7804098230321413e-13,2.777148997864748e-13
3.9516701929924244e-13,5.472296084543269e-13,5.066524292841723e-12,,5.183170106120744e-13,3.3738131645564617e-13,4.582136601631032e-13
3.964755625261678e-13,5.48317044561185e-13,8.828899798785053e-13,,5.247535331523716e-13,2.9492658146552324e-12,4.36684621464528e-13
3.9264454587133626e-13,5.56463256393463e-13,6.118434193598012e-13,,5.219777573389384e-13,3.3937179786209897e-13,3.593757160033365e-13
3.055757744781143e-13,4.001565206389636e-13,5.956812373061285e-13,,3.728084059496165e-13,3.408408172084218e-13,4.4970748652598294e-13
4.466834360271175e-13,5.581120570394591e-13,4.616840939077614e-12,,5.487823690919524e-13,2.7174473862879293e-13,3.7294353116301734e-13
2.634146844228784e-13,5.608948569008175e-13,3.350390038734397e-13,,5.550732680034505e-13,2.847506319574098e-13,2.803328872690461e-13
2.6567377469842257e-13,5.66455197788508e-13,6.778719879648183e-13,,5.48040424586437e-13,4.2172947188528347e-13,4.583297696932502e-13
3.371657180304367e-12,5.638088871104128e-13,5.117585699430128e-12,,5.52429846774125e-13,3.3899579092235192e-12,4.853894256868574e-13
4.433493666525629e-13,5.636157040864521e-13,8.900726248089299e-13,,5.573988582424269e-13,2.724769655534178e-13,4.616103019227969e-13
3.3964093373311135e-12,4.104516916916316e-13,6.168841521531017e-13,,5.531685633659639e-13,4.5405178608387067e-13,4.0484085648396873e-13
2.7124699344987825e-13,4.968054055874673e-13,2.765307934710796e-13,,5.585250484750426e-13,3.401538646607533e-12,4.84843760141309e-13
3.3600037837066694e-13,3.2933712580605655e-13,4.658157071113404e-13,,5.6180395689764e-13,2.6265003285869253e-13,5.133339720206375e-13
3.575574666721044e-12,3.073033841155696e-13,3.638517416843596e-13,,5.617292608924042e-13,4.602966061109307e-13,4.968371263288135e-13
5.004414614527585e-13,3.2156450059252725e-13,4.88873629637734e-13,,5.657904132204666e-13,3.7439990703706164e-13,4.212159922496737e-13
3.5833357473985448e-12,4.994500140698788e-13,7.319672507872324e-13,,2.513093316204944e-13,3.547090216685493e-12,5.166209425089192e-13
3.4689455028190254e-13,4.831384525878443e-13,5.09168605667518e-13,,5.169806960901075e-13,3.6665473753226163e-13,5.012373562112393e-13
5.029248042168082e-13,4.120641726377406e-13,3.288705279889212e-13,,5.007804817622644e-13,4.761758026164756e-13,5.350252360496062e-13
3.815274187196752e-13,3.5896002057063e-13,3.145733656984652e-13,,4.255544109477923e-13,3.554896768826684e-12,5.165107344250019e-13
3.37997754016042e-13,5.331009291268242e-13,8.861853563875766e-13,,3.328231403173314e-13,3.418605540068855e-13,3.2531006546999814e-13
3.837998165766744e-13,4.603260479084132e-13,6.18261450064065e-13,,2.7131422065225226e-13,3.5533872015322386e-13,2.618072416224821e-13
3.86713419787538e-13,3.710224565780858e-13,8.996372328232934e-13,,3.2603130558956305e-13,4.801920010170924e-13,2.742508267677975e-13
3.832782376804184e-13,5.515201425572343e-13,9.082868320546061e-13,,2.738423085860875e-13,3.575091857763753e-12,4.070659510898263e-13
3.675993681403538e-13,5.405131584689223e-13,3.4950537997749375e-13,,4.418070089455381e-13,3.339730595780017e-13,4.000109853534052e-13
3.539668120462383e-13,4.655603879543836e-13,8.921659519291125e-13,,3.6827475943012154e-13,4.806605390459563e-13,3.323659860722271e-13
2.780207590429674e-13,5.460628366641054e-13,6.234148181781267e-13,,3.233451669224638e-13,3.959545899970547e-13,2.932024945246178e-13
3.298985754431596e-13,4.66091189990871e-13,9.093522904044612e-13,,4.670864629389393e-13,2.934660998143762e-12,3.710778806666856e-13
3.4806820906830883e-13,5.511689690425633e-13,9.10523120009006e-13,,4.440611918152936e-13,3.4226582791191297e-12,3.011488651561417e-13
4.291810974168533e-13,5.63233024483146e-13,3.118151352517338e-13,,4.057038251252373e-13,2.6885653758975586e-13,3.479498799637268e-13
3.916411723994162e-13,5.536915705045006e-13,4.349727895034389e-13,,3.29758631946571e-13,3.694509743681394e-13,3.417080615013289e-13
3.736343103607937e-13,5.623681312404691e-13,2.8501156574430097e-13,,5.21768536843705e-13,2.9889365114314188e-12,3.042267337492831e-13
4.429794101022712e-13,5.53626512018912e-13,4.415038796570838e-13,,5.062443213147562e-13,3.71432057453848e-13,3.53392975727204e-13
3.948052384615765e-13,2.2754328809674214e-13,5.57632556237293e-13,,4.327982639794161e-13,2.655294348014981e-13,3.8164753400390083e-13
3.952872295661565e-13,3.4427054955527094e-13,5.624580618284381e-13,,5.506443706151253e-13,2.898439641103053e-13,3.397440075224805e-13
5.126983704717522e-13,4.278984352502672e-13,5.827412509018177e-13,,5.55454023613906e-13,4.582307062859986e-13,3.93964490553154e-13
4.967813195143749e-13,3.519406866084783e-12,5.827749438148458e-13,,5.415585185477247e-13,3.432689653899457e-12,2.682457564846452e-13
3.9764485387010665e-13,3.2780067330060108e-12,3.1920330696629255e-13,,5.61590785716853e-13,2.607586172136925e-13,3.665262927292232e-13
4.485764390455269e-13,2.727161904387598e-13,3.603341070384574e-13,,5.471463597903242e-13,4.880651205980081e-13,3.380289886368414e-12
4.308047819734306e-13,3.6295917987175113e-13,3.7560347672227634e-13,,5.645883110016556e-13,3.602616613019993e-13,2.865654099865458e-13
4.673727166662968e-13,3.311386354579578e-12,7.082742728047868e-13,,2.967303229160485e-13,3.67588332535673e-13,2.872775366791807e-13
,4.046549863002208e-13,5.935649269352451e-13,,3.8321465469391954e-13,3.590296536134639e-12,3.0246435411729255e-13
,3.4644966173030534e-12,9.049825293806318e-13,,3.539799438609967e-13,3.67393520570084e-13,2.932631790193515e-13
,3.134819233051826e-13,8.901082795989956e-13,,3.6150966364250485e-13,5.051628093382434e-13,3.059536429254705e-13
,3.4039541654273465e-13,3.8092403282129143e-13,,3.438270925645368e-12,3.597857383423159e-12,3.1394091607411393e-13
